(0.250000, 0.000000)
(0.246202, 0.043412)
(0.234923, 0.085505)
(0.216506, 0.125000)
(0.191511, 0.160697)
(0.160697, 0.191511)
(0.125000, 0.216506)
(0.085505, 0.234923)
(0.043412, 0.246202)
(0.000000, 0.250000)
(-0.018093, 0.246202)
(-0.035637, 0.234923)
(-0.052097, 0.216506)
(-0.066975, 0.191511)
(-0.079817, 0.160697)
(-0.090235, 0.125000)
(-0.097911, 0.085505)
(-0.102611, 0.043412)
(-0.104194, 0.000000)
(-0.102611, -0.043412)
(-0.097911, -0.085505)
(-0.090235, -0.125000)
(-0.079817, -0.160697)
(-0.066975, -0.191511)
(-0.052097, -0.216506)
(-0.035637, -0.234923)
(-0.018093, -0.246202)
(-0.000000, -0.250000)
(0.043412, -0.246202)
(0.085505, -0.234923)
(0.125000, -0.216506)
(0.160697, -0.191511)
(0.191511, -0.160697)
(0.216506, -0.125000)
(0.234923, -0.085505)
(0.246202, -0.043412)
