
# Waypoint History - Started at 2026-02-01 19:52:37 - Random Seed 1235
(0.33873, -0.452172, None),  cut
(0.33873, -0.448389, None),  cut
(0.33873, -0.444606, None),  cut
(0.33873, -0.440822, None),  cut
(0.33873, -0.437039, None),  cut
(0.33873, -0.433256, None),  cut
(0.33873, -0.429472, None),  cut
(0.33873, -0.425689, None),  cut
(0.33873, -0.421906, None),  cut
(0.33873, -0.418122, None),  cut
(0.33873, -0.414339, None),  cut
(0.33873, -0.410556, None),  cut
(0.33873, -0.406772, None),  cut
(0.33873, -0.402989, None),  cut
(0.33873, -0.399206, None),  cut
(0.33873, -0.395422, None),  cut
(0.33873, -0.391639, None),  cut
(0.33873, -0.387856, None),  cut
(0.33873, -0.384072, None),  cut
(0.33873, -0.380289, None),  cut
(0.33873, -0.376506, None),  cut
(0.33873, -0.372722, None),  cut
(0.33873, -0.368939, None),  cut
(0.33873, -0.365156, None),  cut
(0.33873, -0.361372, None),  cut
(0.33873, -0.357589, None),  cut
(0.33873, -0.353806, None),  cut
(0.33873, -0.350022, None),  cut
(0.33873, -0.346239, None),  cut
(0.33873, -0.342456, None),  cut
(0.33873, -0.338672, None),  cut
(0.33873, -0.334889, None),  cut
(0.33873, -0.331106, None),  cut
(0.33873, -0.327322, None),  cut
(0.33873, -0.323539, None),  cut
(0.33873, -0.319756, None),  cut
(0.33873, -0.315972, None),  cut
(0.33873, -0.312189, None),  cut
(0.33873, -0.308406, None),  cut
(0.33873, -0.304622, None),  cut
(0.456213, -0.400232, None),  cut
(0.456213, -0.396918, None),  cut
(0.456213, -0.393604, None),  cut
(0.456213, -0.39029, None),  cut
(0.456213, -0.386976, None),  cut
(0.456213, -0.383662, None),  cut
(0.456213, -0.380348, None),  cut
(0.456213, -0.377034, None),  cut
(0.456213, -0.37372, None),  cut
(0.456213, -0.370406, None),  cut
(0.456213, -0.367092, None),  cut
(0.456213, -0.363778, None),  cut
(0.456213, -0.360464, None),  cut
(0.456213, -0.35715, None),  cut
(0.068286, -0.23901, None),  cut
(0.190708, -0.064725, None),  cut
(0.294213, 0.235585, None),  cut
(0.288817, 0.246328, None),  cut
(0.283421, 0.257071, None),  cut
(0.278025, 0.267814, None),  cut
(0.272629, 0.278557, None),  cut
(0.267233, 0.2893, None),  cut
(0.261837, 0.300043, None),  cut
(0.256441, 0.310786, None),  cut
(0.251045, 0.321529, None),  cut
(0.245649, 0.332272, None),  cut
(0.240253, 0.343015, None),  cut
(0.234857, 0.353758, None),  cut
(0.229461, 0.364501, None),  cut
(0.224065, 0.375244, None),  cut
(0.218669, 0.385987, None),  cut
(0.213273, 0.39673, None),  cut
(0.207877, 0.407473, None),  cut
(0.202481, 0.418216, None),  cut
(0.197085, 0.428959, None),  cut
(0.191689, 0.439703, None),  cut
(0.186293, 0.450446, None),  cut
(0.180897, 0.461189, None),  cut
(0.175501, 0.471932, None),  cut
(0.169644, 0.481846, None),  cut
(0.163683, 0.491406, None),  cut
(0.157721, 0.500966, None),  cut
(0.15176, 0.510525, None),  cut
(-0.064855, 0.429531, None),  cut
(-0.066051, 0.429078, None),  cut
(-0.067248, 0.428625, None),  cut
(-0.068444, 0.428172, None),  cut
(-0.06964, 0.427719, None),  cut
(-0.070836, 0.427266, None),  cut
(-0.072032, 0.426813, None),  cut
(-0.073229, 0.42636, None),  cut
(-0.074425, 0.425907, None),  cut
(-0.075621, 0.425454, None),  cut
(-0.076817, 0.425001, None),  cut
(-0.078013, 0.424548, None),  cut
(-0.07921, 0.424095, None),  cut
(-0.080406, 0.423642, None),  cut
(-0.081602, 0.423189, None),  cut
(-0.082798, 0.422736, None),  cut
(-0.083995, 0.422283, None),  cut
(-0.085191, 0.42183, None),  cut
(-0.086387, 0.421377, None),  cut
(-0.087583, 0.420924, None),  cut
(-0.088779, 0.420471, None),  cut
(-0.089976, 0.420018, None),  cut
(-0.091172, 0.419565, None),  cut
(-0.092368, 0.419112, None),  cut
(-0.093564, 0.418659, None),  cut
(-0.09476, 0.418206, None),  cut
(-0.095957, 0.417753, None),  cut
(-0.097153, 0.4173, None),  cut
(-0.098349, 0.416847, None),  cut
(-0.099646, 0.415034, None),  cut
(-0.10182, 0.407187, None),  cut
(-0.10369, 0.396724, None),  cut
(-0.105295, 0.385542, None),  cut
(-0.1069, 0.37436, None),  cut
(-0.108505, 0.363177, None),  cut
(-0.11011, 0.351995, None),  cut
(-0.111716, 0.340813, None),  cut
(-0.113321, 0.32963, None),  cut
(-0.213543, 0.581576, None),  cut
(-0.224372, 0.586772, None),  cut
(-0.235201, 0.591968, None),  cut
(-0.246029, 0.597164, None),  cut
(-0.106873, 0.671071, None),  cut
(-0.267672, 0.762947, None),  cut
(-0.032749, 0.80217, None),  cut
(-0.0365, 0.799305, None),  cut
(-0.040251, 0.79644, None),  cut
(-0.044001, 0.793575, None),  cut
(-0.047752, 0.79071, None),  cut
(-0.051503, 0.787845, None),  cut
(-0.055253, 0.78498, None),  cut
(-0.059004, 0.782115, None),  cut
(-0.062152, 0.779544, None),  cut
(-0.060533, 0.779629, None),  cut
(-0.063969, 0.778258, None),  cut
(-0.067356, 0.776876, None),  cut
(-0.070742, 0.775494, None),  cut
(-0.074129, 0.774112, None),  cut
(-0.077515, 0.77273, None),  cut
(-0.080902, 0.771347, None),  cut
(-0.084288, 0.769965, None),  cut
(-0.05749, 0.764382, None),  cut
(-0.060478, 0.761313, None),  cut
(-0.063466, 0.758245, None),  cut
(-0.22325, 0.886795, None),  cut
(-0.226159, 0.885033, None),  cut
(-0.229069, 0.88327, None),  cut
(-0.231978, 0.881508, None),  cut
(-0.234888, 0.879746, None),  cut
(-0.237797, 0.877984, None),  cut
(-0.240707, 0.876221, None),  cut
(-0.243616, 0.874459, None),  cut
(-0.246526, 0.872697, None),  cut
(-0.249435, 0.870935, None),  cut
(-0.252345, 0.869172, None),  cut
(-0.255254, 0.86741, None),  cut
(-0.258164, 0.865648, None),  cut
(-0.261073, 0.863886, None),  cut
(-0.263983, 0.862124, None),  cut
(-0.266892, 0.860361, None),  cut
(-0.269802, 0.858599, None),  cut
(-0.272711, 0.856837, None),  cut
(-0.275621, 0.855075, None),  cut
(-0.27853, 0.853312, None),  cut
(-0.28144, 0.85155, None),  cut
(-0.284349, 0.849788, None),  cut
(-0.549807, 0.71524, None),  cut
(-0.554799, 0.711997, None),  cut
(-0.55979, 0.708753, None),  cut
(-0.564781, 0.70551, None),  cut
(-0.569772, 0.702267, None),  cut
(-0.574764, 0.699023, None),  cut
(-0.579755, 0.69578, None),  cut
(-0.584746, 0.692536, None),  cut
(-0.589737, 0.689293, None),  cut
(-0.594728, 0.686049, None),  cut
(-0.59972, 0.682806, None),  cut
(-0.604711, 0.679562, None),  cut
(-0.609702, 0.676319, None),  cut
(-0.614693, 0.673075, None),  cut
(-0.619684, 0.669832, None),  cut
(-0.624676, 0.666589, None),  cut
(-0.629667, 0.663345, None),  cut
(-0.634658, 0.660102, None),  cut
(-0.639649, 0.656858, None),  cut
(-0.644641, 0.653615, None),  cut
(-0.649632, 0.650371, None),  cut
(-0.654623, 0.647128, None),  cut
(-0.659614, 0.643884, None),  cut
(-0.664605, 0.640641, None),  cut
(-0.669597, 0.637397, None),  cut
(-0.674588, 0.634154, None),  cut
(-0.679579, 0.630911, None),  cut
(-0.68457, 0.627667, None),  cut
(-0.689561, 0.624424, None),  cut
(-0.694553, 0.62118, None),  cut
(-0.699544, 0.617937, None),  cut
(-0.704535, 0.614693, None),  cut
(-0.709526, 0.61145, None),  cut
(-0.714518, 0.608206, None),  cut
(-0.719509, 0.604963, None),  cut
(-0.7245, 0.601719, None),  cut
(-0.729491, 0.598476, None),  cut
(-0.734482, 0.595233, None),  cut
(-0.739474, 0.591989, None),  cut
(-0.744465, 0.588746, None),  cut
(-0.749456, 0.585502, None),  cut
(-0.754447, 0.582259, None),  cut
(-0.759438, 0.579015, None),  cut
(-0.76443, 0.575772, None),  cut
(-0.769421, 0.572528, None),  cut
(-0.774412, 0.569285, None),  cut
(-0.779403, 0.566041, None),  cut
(-0.784395, 0.562798, None),  cut
(-0.789386, 0.559555, None),  cut
(-0.794377, 0.556311, None),  cut
(-0.799368, 0.553068, None),  cut
(-0.804359, 0.549824, None),  cut
(-0.809351, 0.546581, None),  cut
(-0.814342, 0.543337, None),  cut
(-0.819333, 0.540094, None),  cut
(-0.824324, 0.53685, None),  cut
(-0.829315, 0.533607, None),  cut
(-0.834307, 0.530363, None),  cut
(-0.839298, 0.52712, None),  cut
(-0.844289, 0.523877, None),  cut
(-0.84928, 0.520633, None),  cut
(-0.854272, 0.51739, None),  cut
(-0.859263, 0.514146, None),  cut
(-0.864254, 0.510903, None),  cut
(-0.603438, 0.357426, None),  cut
(-0.601107, 0.866771, None),  cut
(-0.597597, 0.865549, None),  cut
(-0.594087, 0.864328, None),  cut
(-0.590576, 0.863106, None),  cut
(-0.587066, 0.861884, None),  cut
(-0.583556, 0.860663, None),  cut
(-0.580046, 0.859441, None),  cut
(-0.576536, 0.858219, None),  cut
(-0.573026, 0.856998, None),  cut
(-0.569516, 0.855776, None),  cut
(-0.566006, 0.854555, None),  cut
(-0.562496, 0.853333, None),  cut
(-0.558986, 0.852111, None),  cut
(-0.555476, 0.85089, None),  cut
(-0.551966, 0.849668, None),  cut
(-0.548456, 0.848446, None),  cut
(-0.544946, 0.847225, None),  cut
(-0.541435, 0.846003, None),  cut
(-0.537925, 0.844781, None),  cut
(-0.534415, 0.84356, None),  cut
(-0.530905, 0.842338, None),  cut
(-0.527395, 0.841116, None),  cut
(-0.523885, 0.839895, None),  cut
(-0.520375, 0.838673, None),  cut
(-0.516865, 0.837451, None),  cut
(-0.513355, 0.83623, None),  cut
(-0.509845, 0.835008, None),  cut
(-0.506335, 0.833786, None),  cut
(-0.502825, 0.832565, None),  cut
(-0.499315, 0.831343, None),  cut
(-0.495804, 0.830122, None),  cut
(-0.492294, 0.8289, None),  cut
(-0.488784, 0.827678, None),  cut
(-0.485274, 0.826457, None),  cut
(-0.481764, 0.825235, None),  cut
(-0.478254, 0.824013, None),  cut
(-0.474744, 0.822792, None),  cut
(-0.471234, 0.82157, None),  cut
(-0.467724, 0.820348, None),  cut
(-0.464214, 0.819127, None),  cut
(-0.460704, 0.817905, None),  cut
(-0.457194, 0.816683, None),  cut
(-0.453684, 0.815462, None),  cut
(-0.450173, 0.81424, None),  cut
(-0.446663, 0.813018, None),  cut
(-0.443153, 0.811797, None),  cut
(-0.439643, 0.810575, None),  cut
(-0.436133, 0.809353, None),  cut
(-0.432623, 0.808132, None),  cut
(-0.429113, 0.80691, None),  cut
(-0.425603, 0.805689, None),  cut
(-0.422093, 0.804467, None),  cut
(0.475525, 0.776038, None),  cut
(0.475243, 0.775956, None),  cut
(0.474961, 0.775874, None),  cut
(0.474678, 0.775791, None),  cut
(0.474396, 0.775709, None),  cut
(0.474114, 0.775627, None),  cut
(0.473831, 0.775544, None),  cut
(0.473549, 0.775462, None),  cut
(0.473267, 0.775379, None),  cut
(0.472984, 0.775297, None),  cut
(0.472702, 0.775215, None),  cut
(0.47242, 0.775132, None),  cut
(0.472137, 0.77505, None),  cut
(0.471855, 0.774968, None),  cut
(0.471573, 0.774885, None),  cut
(0.47129, 0.774803, None),  cut
(0.471008, 0.774721, None),  cut
(0.470726, 0.774638, None),  cut
(0.470443, 0.774556, None),  cut
(0.470161, 0.774474, None),  cut
(0.469879, 0.774391, None),  cut
(0.469596, 0.774309, None),  cut
(0.469314, 0.774226, None),  cut
(0.469032, 0.774144, None),  cut
(0.468749, 0.774062, None),  cut
(0.468467, 0.773979, None),  cut
(0.468185, 0.773897, None),  cut
(0.467902, 0.773815, None),  cut
(0.46762, 0.773732, None),  cut
(0.467338, 0.77365, None),  cut
(0.467055, 0.773568, None),  cut
(0.466773, 0.773485, None),  cut
(0.466491, 0.773403, None),  cut
(0.466208, 0.77332, None),  cut
(0.465926, 0.773238, None),  cut
(0.465644, 0.773156, None),  cut
(0.465361, 0.773073, None),  cut
(0.465079, 0.772991, None),  cut
(0.464797, 0.772909, None),  cut
(0.464514, 0.772826, None),  cut
(0.464232, 0.772744, None),  cut
(0.46395, 0.772662, None),  cut
(0.463667, 0.772579, None),  cut
(0.463385, 0.772497, None),  cut
(0.463103, 0.772415, None),  cut
(0.46282, 0.772332, None),  cut
(0.462538, 0.77225, None),  cut
(0.462256, 0.772167, None),  cut
(0.461973, 0.772085, None),  cut
(0.461691, 0.772003, None),  cut
(0.461409, 0.77192, None),  cut
(0.461126, 0.771838, None),  cut
(0.460844, 0.771756, None),  cut
(0.460562, 0.771673, None),  cut
(0.460279, 0.771591, None),  cut
(0.459997, 0.771509, None),  cut
(0.459715, 0.771426, None),  cut
(0.459432, 0.771344, None),  cut
(0.45915, 0.771262, None),  cut
(0.458868, 0.771179, None),  cut
(0.458585, 0.771097, None),  cut
(0.458303, 0.771014, None),  cut
(0.458021, 0.770932, None),  cut
(0.457738, 0.77085, None),  cut
(0.457456, 0.770767, None),  cut
(0.457174, 0.770685, None),  cut
(0.456891, 0.770603, None),  cut
(0.456609, 0.77052, None),  cut
(0.456327, 0.770438, None),  cut
(0.456044, 0.770356, None),  cut
(0.455762, 0.770273, None),  cut
(0.45548, 0.770191, None),  cut
(0.455197, 0.770108, None),  cut
(0.454915, 0.770026, None),  cut
(0.454633, 0.769944, None),  cut
(0.45435, 0.769861, None),  cut
(0.543944, 0.881995, None),  cut
(0.543974, 0.882355, None),  cut
(0.544004, 0.882714, None),  cut
(0.544034, 0.883074, None),  cut
(0.544064, 0.883434, None),  cut
(0.544094, 0.883794, None),  cut
(0.544124, 0.884153, None),  cut
(0.544154, 0.884513, None),  cut
(0.544184, 0.884873, None),  cut
(0.544214, 0.885233, None),  cut
(0.544244, 0.885592, None),  cut
(0.544274, 0.885952, None),  cut
(0.544304, 0.886312, None),  cut
(0.544334, 0.886671, None),  cut
(0.544364, 0.887031, None),  cut
(0.544394, 0.887391, None),  cut
(0.753725, 0.476954, None),  cut
(0.641461, 0.289339, None),  cut
(0.727592, 0.265268, None),  cut
(0.71966, 0.034837, None),  cut
(0.947464, 0.038114, None),  cut
(0.950773, 0.037206, None),  cut
(0.954082, 0.036298, None),  cut
(0.95739, 0.03539, None),  cut
(0.960699, 0.034482, None),  cut
(0.964008, 0.033574, None),  cut
(0.967316, 0.032666, None),  cut
(0.970625, 0.031758, None),  cut
(0.973934, 0.03085, None),  cut
(0.977243, 0.029942, None),  cut
(0.980055, 0.02905, None),  cut
(0.978876, 0.028301, None),  cut
(0.977696, 0.027553, None),  cut
(0.976516, 0.026805, None),  cut
(0.975336, 0.026056, None),  cut
(0.974157, 0.025308, None),  cut
(0.972977, 0.024559, None),  cut
(0.971797, 0.023811, None),  cut
(0.970617, 0.023063, None),  cut
(0.969438, 0.022314, None),  cut
(0.968258, 0.021566, None),  cut
(0.967078, 0.020818, None),  cut
(0.965898, 0.020069, None),  cut
(0.964719, 0.019321, None),  cut
(0.588827, -0.275159, None),  cut
(0.588522, -0.275549, None),  cut
(0.588217, -0.275939, None),  cut
(0.587912, -0.276329, None),  cut
(0.587608, -0.276718, None),  cut
(0.587303, -0.277108, None),  cut
(0.586998, -0.277498, None),  cut
(0.586693, -0.277888, None),  cut
(0.586388, -0.278278, None),  cut
(0.586084, -0.278668, None),  cut
(0.585779, -0.279058, None),  cut
(0.585474, -0.279448, None),  cut
(0.585169, -0.279837, None),  cut
(0.584864, -0.280227, None),  cut
(0.584559, -0.280617, None),  cut
(0.584255, -0.281007, None),  cut
(0.58395, -0.281397, None),  cut
(0.583645, -0.281787, None),  cut
(0.58334, -0.282177, None),  cut
(0.583035, -0.282567, None),  cut
(0.582731, -0.282956, None),  cut
(0.582426, -0.283346, None),  cut
(0.582121, -0.283736, None),  cut
(0.581816, -0.284126, None),  cut
(0.581511, -0.284516, None),  cut
(0.581206, -0.284906, None),  cut
(0.580902, -0.285296, None),  cut
(0.580597, -0.285686, None),  cut
(0.580292, -0.286076, None),  cut
(0.579987, -0.286465, None),  cut
(0.579682, -0.286855, None),  cut
(0.579378, -0.287245, None),  cut
(0.579073, -0.287635, None),  cut
(0.578768, -0.288025, None),  cut
(0.578463, -0.288415, None),  cut
(0.578158, -0.288805, None),  cut
(0.577853, -0.289195, None),  cut
(0.577549, -0.289584, None),  cut
(0.577244, -0.289974, None),  cut
(0.576939, -0.290364, None),  cut
(0.576634, -0.290754, None),  cut
(0.576329, -0.291144, None),  cut
(0.576025, -0.291534, None),  cut
(0.57572, -0.291924, None),  cut
(0.722949, -0.393747, None),  cut
(0.72164, -0.393747, None),  cut
(0.720331, -0.393747, None),  cut
(0.719022, -0.393747, None),  cut
(0.717713, -0.393747, None),  cut
(0.716404, -0.393747, None),  cut
(0.715096, -0.393747, None),  cut
(0.713787, -0.393747, None),  cut
(0.712478, -0.393747, None),  cut
(0.711169, -0.393747, None),  cut
(0.70986, -0.393747, None),  cut
(0.708551, -0.393747, None),  cut
(0.707242, -0.393747, None),  cut
(0.705933, -0.393747, None),  cut
(0.704624, -0.393747, None),  cut
(0.703315, -0.393747, None),  cut
(0.702007, -0.393747, None),  cut
(0.644284, -0.537961, None),  cut
(0.738868, -0.596997, None),  cut
(0.669609, -0.809621, None),  cut
(0.368845, -0.806824, None),  cut
(0.368717, -0.806737, None),  cut
(0.368589, -0.80665, None),  cut
(0.368461, -0.806563, None),  cut
(0.368333, -0.806476, None),  cut
(0.368205, -0.80639, None),  cut
(0.368077, -0.806303, None),  cut
(0.367949, -0.806216, None),  cut
(0.367821, -0.806129, None),  cut
(0.367693, -0.806042, None),  cut
(0.367565, -0.805956, None),  cut
(0.367437, -0.805869, None),  cut
(0.367309, -0.805782, None),  cut
(0.367181, -0.805695, None),  cut
(0.367053, -0.805608, None),  cut
(0.366926, -0.805522, None),  cut
(0.366798, -0.805435, None),  cut
(0.36667, -0.805348, None),  cut
(0.366542, -0.805261, None),  cut
(0.366414, -0.805174, None),  cut
(0.366286, -0.805087, None),  cut
(0.366158, -0.805001, None),  cut
(0.36603, -0.804914, None),  cut
(0.365902, -0.804827, None),  cut
(0.365774, -0.80474, None),  cut
(0.365646, -0.804653, None),  cut
(0.365518, -0.804567, None),  cut
(0.36539, -0.80448, None),  cut
(0.365262, -0.804393, None),  cut
