5.296,0.800000,0.195353,0.800000,0.800000
5.356,0.800000,0.278113,0.800000,0.800000
5.416,0.800000,0.270453,0.800000,0.800000
5.476,0.800000,0.262794,0.800000,0.800000
5.536,0.800000,0.255134,0.800000,0.800000
5.596,0.800000,0.800000,0.800000,0.800000
5.656,0.800000,0.800000,0.800000,0.800000
5.716,0.800000,0.800000,0.800000,0.800000
5.776,0.800000,0.800000,0.800000,0.800000
5.836,0.800000,0.800000,0.800000,0.800000
5.896,0.800000,0.800000,0.800000,0.800000
5.956,0.800000,0.800000,0.800000,0.800000
6.016,0.692064,0.800000,0.800000,0.800000
6.076,0.674064,0.800000,0.800000,0.800000
6.136,0.656064,0.800000,0.800000,0.200284
6.196,0.642727,0.800000,0.800000,0.186873
6.256,0.596900,0.800000,0.800000,0.156145
6.316,0.581663,0.800000,0.800000,0.127779
6.376,0.553517,0.672929,0.800000,0.106434
6.436,0.548415,0.667422,0.800000,0.086853
6.496,0.546740,0.657976,0.800000,0.072323
6.556,0.548660,0.662087,0.800000,0.062396
6.616,0.548037,0.659553,0.800000,0.050454
6.676,0.547826,0.662605,0.800000,0.034332
6.736,0.544617,0.667674,0.800000,0.017886
6.796,0.543417,0.675032,0.800000,-0.002906
6.856,0.535307,0.677787,0.800000,-0.024592
6.916,0.531465,0.001153,0.800000,-0.046658
6.976,0.546673,0.003589,0.800000,-0.068603
7.036,0.555343,0.000678,0.800000,-0.089937
7.096,-0.097897,0.004450,0.800000,-0.098430
7.156,-0.094019,0.002031,0.800000,-0.099366
7.216,-0.097799,0.003700,0.800000,-0.094909
7.276,-0.099174,0.003538,0.800000,-0.092923
