(0.82, -0.82, None),
(0.813333, -0.64, None),
(0.806667, -0.46, None),
(0.8, -0.28, None),
(0.793333, -0.1, None),
(0.786667, 0.08, None),
(0.78, 0.26, None),
(0.773333, 0.44, None),
(0.766667, 0.62, None),
(0.75, 0.82, None),
(0.738889, 0.636667, None),
(0.727778, 0.453333, None),
(0.716667, 0.27, None),
(0.705556, 0.086667, None),
(0.694444, -0.096667, None),
(0.683333, -0.28, None),
(0.672222, -0.463333, None),
(0.661111, -0.646667, None),
(0.65, -0.82, None),
(0.638889, -0.636667, None),
(0.627778, -0.453333, None),
(0.616667, -0.27, None),
(0.605556, -0.086667, None),
(0.594444, 0.096667, None),
(0.583333, 0.28, None),
(0.572222, 0.463333, None),
(0.561111, 0.646667, None),
(0.55, 0.82, None),
(0.538889, 0.636667, None),
(0.527778, 0.453333, None),
(0.516667, 0.27, None),
(0.505556, 0.086667, None),
(0.494444, -0.096667, None),
(0.483333, -0.28, None),
(0.472222, -0.463333, None),
(0.461111, -0.646667, None),
(0.45, -0.82, None),
(0.438889, -0.636667, None),
(0.427778, -0.453333, None),
(0.416667, -0.27, None),
(0.405556, -0.086667, None),
(0.394444, 0.096667, None),
(0.383333, 0.28, None),
(0.372222, 0.463333, None),
(0.361111, 0.646667, None),
(0.35, 0.82, None),
(0.338889, 0.636667, None),
(0.327778, 0.453333, None),
(0.316667, 0.27, None),
(0.305556, 0.086667, None),
(0.294444, -0.096667, None),
(0.283333, -0.28, None),
(0.272222, -0.463333, None),
(0.261111, -0.646667, None),
(0.25, -0.82, None),
(0.238889, -0.636667, None),
(0.227778, -0.453333, None),
(0.216667, -0.27, None),
(0.205556, -0.086667, None),
(0.194444, 0.096667, None),
(0.183333, 0.28, None),
(0.172222, 0.463333, None),
(0.161111, 0.646667, None),
(0.15, 0.82, None),
(0.138889, 0.636667, None),
(0.127778, 0.453333, None),
(0.116667, 0.27, None),
(0.105556, 0.086667, None),
(0.094444, -0.096667, None),
(0.083333, -0.28, None),
(0.072222, -0.463333, None),
(0.061111, -0.646667, None),
(0.05, -0.82, None),
(0.038889, -0.636667, None),
(0.027778, -0.453333, None),
(0.016667, -0.27, None),
(0.005556, -0.086667, None),
(-0.005556, 0.096667, None),
(-0.016667, 0.28, None),
(-0.027778, 0.463333, None),
(-0.038889, 0.646667, None),
(-0.05, 0.82, None),
(-0.061111, 0.636667, None),
(-0.072222, 0.453333, None),
(-0.083333, 0.27, None),
(-0.094444, 0.086667, None),
(-0.105556, -0.096667, None),
(-0.116667, -0.28, None),
(-0.127778, -0.463333, None),
(-0.138889, -0.646667, None),
(-0.15, -0.82, None),
(-0.161111, -0.636667, None),
(-0.172222, -0.453333, None),
(-0.183333, -0.27, None),
(-0.194444, -0.086667, None),
(-0.205556, 0.096667, None),
(-0.216667, 0.28, None),
(-0.227778, 0.463333, None),
(-0.238889, 0.646667, None),
(-0.25, 0.82, None),
(-0.261111, 0.636667, None),
(-0.272222, 0.453333, None),
(-0.283333, 0.27, None),
(-0.294444, 0.086667, None),
(-0.305556, -0.096667, None),
(-0.316667, -0.28, None),
(-0.327778, -0.463333, None),
(-0.338889, -0.646667, None),
(-0.35, -0.82, None),
(-0.361111, -0.636667, None),
(-0.372222, -0.453333, None),
(-0.383333, -0.27, None),
(-0.394444, -0.086667, None),
(-0.405556, 0.096667, None),
(-0.416667, 0.28, None),
(-0.427778, 0.463333, None),
(-0.438889, 0.646667, None),
(-0.45, 0.82, None),
(-0.461111, 0.636667, None),
(-0.472222, 0.453333, None),
(-0.483333, 0.27, None),
(-0.494444, 0.086667, None),
(-0.505556, -0.096667, None),
(-0.516667, -0.28, None),
(-0.527778, -0.463333, None),
(-0.538889, -0.646667, None),
(-0.55, -0.82, None),
(-0.561111, -0.636667, None),
(-0.572222, -0.453333, None),
(-0.583333, -0.27, None),
(-0.594444, -0.086667, None),
(-0.605556, 0.096667, None),
(-0.616667, 0.28, None),
(-0.627778, 0.463333, None),
(-0.638889, 0.646667, None),
(-0.65, 0.82, None),
(-0.661111, 0.636667, None),
(-0.672222, 0.453333, None),
(-0.683333, 0.27, None),
(-0.694444, 0.086667, None),
(-0.705556, -0.096667, None),
(-0.716667, -0.28, None),
(-0.727778, -0.463333, None),
(-0.738889, -0.646667, None),
(-0.75, -0.82, None),
(-0.758889, -0.636667, None),
(-0.767778, -0.453333, None),
(-0.776667, -0.27, None),
(-0.785556, -0.086667, None),
(-0.794444, 0.096667, None),
(-0.803333, 0.28, None),
(-0.812222, 0.463333, None),
(-0.821111, 0.646667, None),
(-0.82, 0.82, None),  
